Timestamp,Participant_ID,Gender,Nationality,Age,Food,Juice,Dessert
2019/05/07 2:59:13 PM GMT+8,FPS001,Male,Indian,24,Traditional food,Fresh Juice,Maybe
2019/05/07 2:59:45 PM GMT+8,FPS002,Female,Indian,22,Western Food,Carbonated drinks,Yes
2019/05/07 3:00:05 PM GMT+8,FPS003,Male,Indian,31,Western Food,Fresh Juice,Maybe
2019/05/07 3:00:11 PM GMT+8,FPS004,Female,Indian,25,Traditional food,Fresh Juice,Maybe
2019/05/07 3:02:50 PM GMT+8,FPS005,Male,Indian,27,Traditional food,Fresh Juice,Maybe
2019/05/07 3:03:34 PM GMT+8,FPS006,Male,Indian,24,Traditional food,Fresh Juice,Yes
2019/05/07 3:03:48 PM GMT+8,FPS007,Female,Indian,34,Traditional food,Fresh Juice,Yes
2019/05/07 3:04:37 PM GMT+8,FPS008,Male,Pakistani ,24,Western Food,Carbonated drinks,Yes
2019/05/07 3:05:39 PM GMT+8,FPS009,Female,Indian,19,Traditional food,Fresh Juice,Yes
2019/05/07 3:06:53 PM GMT+8,FPS010,Female,Indian,16,Western Food,Fresh Juice,Yes
2019/05/07 3:07:26 PM GMT+8,FPS011,Male,Tanzanian,23,Traditional food,Fresh Juice,No
2019/05/07 3:07:36 PM GMT+8,FPS012,Female,Indian,22,Traditional food,Fresh Juice,Yes
2019/05/07 3:07:36 PM GMT+8,FPS013,Female,Indonesia,22,Traditional food,Fresh Juice,Maybe
2019/05/07 3:07:49 PM GMT+8,FPS014,Female,Indian,24,Western Food,Carbonated drinks,Yes
2019/05/07 3:09:06 PM GMT+8,FPS015,,Muslim,27,Traditional food,Fresh Juice,Yes
2019/05/07 3:09:47 PM GMT+8,FPS016,Male,Pakistan,25,Traditional food,Fresh Juice,Maybe
2019/05/07 3:10:37 PM GMT+8,FPS017,Male,Maldivian ,26,Traditional food,Fresh Juice,No
2019/05/07 3:12:29 PM GMT+8,FPS018,Male,MY,22,Traditional food,Fresh Juice,No
2019/05/07 3:13:11 PM GMT+8,FPS019,Female,Malaysian,38,Traditional food,Fresh Juice,Maybe
2019/05/07 3:18:07 PM GMT+8,FPS020,Female,Indian,31,Traditional food,Fresh Juice,Maybe
2019/05/07 3:18:21 PM GMT+8,FPS021,Male,Malaysian ,21,Traditional food,Carbonated drinks,Maybe
2019/05/07 3:20:06 PM GMT+8,FPS022,Male,Indonesia,20,Traditional food,Fresh Juice,Maybe
2019/05/07 3:21:27 PM GMT+8,FPS023,Male,Malaysian,20,Western Food,Fresh Juice,Maybe
2019/05/07 3:21:40 PM GMT+8,FPS024,Male,Malaysian,22,Western Food,Fresh Juice,Yes
2019/05/07 3:22:09 PM GMT+8,FPS025,Male,Malaysian,20,Traditional food,Fresh Juice,Yes
2019/05/07 3:24:47 PM GMT+8,FPS026,Female,Indonesian ,24,Traditional food,Fresh Juice,Yes
2019/05/07 3:29:38 PM GMT+8,FPS027,Male,Indian,43,Traditional food,Fresh Juice,Maybe
2019/05/07 3:31:17 PM GMT+8,FPS028,Female,Maldivian,29,Western Food,Fresh Juice,Yes
2019/05/07 3:33:04 PM GMT+8,FPS029,Male,Indian,39,Traditional food,Fresh Juice,Yes
2019/05/07 3:33:40 PM GMT+8,FPS030,Male,Indian,26,Traditional food,Fresh Juice,Yes
2019/05/07 3:42:00 PM GMT+8,FPS031,Male,MALAYSIAN,21,Traditional food,Carbonated drinks,Maybe
2019/05/07 3:42:05 PM GMT+8,FPS032,Female,MY,40,Western Food,Fresh Juice,Yes
2019/05/07 3:46:10 PM GMT+8,FPS033,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:46:28 PM GMT+8,FPS034,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:46:56 PM GMT+8,FPS035,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:47:18 PM GMT+8,FPS036,Male,Malaysia ,24,Western Food,Fresh Juice,Yes
2019/05/07 3:47:44 PM GMT+8,FPS037,Male,Indian,13,Western Food,Fresh Juice,Maybe
2019/05/07 3:48:18 PM GMT+8,FPS038,Male,Indian,24,Traditional food,Fresh Juice,Yes
2019/05/07 3:48:35 PM GMT+8,FPS039,Male,Malaysian,21,Traditional food,Fresh Juice,Maybe
2019/05/07 3:49:18 PM GMT+8,FPS040,Female,Indian,34,Traditional food,Fresh Juice,Maybe
2019/05/07 3:57:01 PM GMT+8,FPS041,Female,Pakistani ,18,Traditional food,Fresh Juice,Maybe
2019/05/07 3:58:08 PM GMT+8,FPS042,Male,Pakistani,26,Traditional food,Fresh Juice,Yes
2019/05/07 3:59:01 PM GMT+8,FPS043,Male,Canadian,24,Western Food,Fresh Juice,Yes
2019/05/07 3:59:37 PM GMT+8,FPS044,Male,Pakistani,60,Traditional food,Carbonated drinks,Yes
2019/05/07 4:00:28 PM GMT+8,FPS045,Male,Malaysian,21,Western Food,Carbonated drinks,Yes
2019/05/07 4:00:47 PM GMT+8,FPS046,Female,Nigerian ,21,Traditional food,Fresh Juice,Yes
2019/05/07 4:01:42 PM GMT+8,FPS047,Male,Pakistani,24,Western Food,Fresh Juice,Yes
2019/05/07 4:01:44 PM GMT+8,FPS048,Male,Indian,25,Western Food,Fresh Juice,Yes
2019/05/07 4:02:29 PM GMT+8,FPS049,Male,Indian,23,Traditional food,Fresh Juice,Maybe
2019/05/07 4:03:06 PM GMT+8,FPS050,Female,Algerian ,25,Traditional food,Fresh Juice,Yes
2019/05/07 4:03:45 PM GMT+8,FPS051,Female,Indian,22,Traditional food,Fresh Juice,Maybe
2019/05/07 4:04:58 PM GMT+8,FPS052,Male,Korean ,27,Western Food,Fresh Juice,No
2019/05/07 4:05:29 PM GMT+8,FPS053,Male,Indian,26,Traditional food,Fresh Juice,No
2019/05/07 4:05:34 PM GMT+8,FPS054,Female,Indian,30,Traditional food,Fresh Juice,Yes
2019/05/07 4:09:53 PM GMT+8,FPS055,Female,Indian,25,Traditional food,Fresh Juice,Maybe
2019/05/07 4:10:02 PM GMT+8,FPS056,Male,Indian,23,Western Food,Carbonated drinks,Yes
2019/05/07 4:10:56 PM GMT+8,FPS057,Female,Indian,25,Traditional food,Fresh Juice,Yes
2019/05/07 4:11:01 PM GMT+8,FPS058,Male,Indian,21,Traditional food,Fresh Juice,Maybe
2019/05/07 4:11:10 PM GMT+8,FPS059,Male,Indian,47,Traditional food,Fresh Juice,No
2019/05/07 4:11:51 PM GMT+8,FPS060,Male,Indian,21,Western Food,Carbonated drinks,Maybe
2019/05/07 4:12:12 PM GMT+8,FPS061,Female,Indian,25,Traditional food,Fresh Juice,Maybe
2019/05/07 4:14:01 PM GMT+8,FPS062,Female,Indian,30,Western Food,Fresh Juice,Maybe
2019/05/07 4:14:02 PM GMT+8,FPS063,Female,Indian,54,Traditional food,Carbonated drinks,Yes
2019/05/07 4:14:48 PM GMT+8,FPS064,Male,Seychellois,23,Traditional food,Carbonated drinks,Maybe
2019/05/07 4:15:12 PM GMT+8,FPS065,Male,Indian,27,Traditional food,Carbonated drinks,Maybe
2019/05/07 4:15:14 PM GMT+8,FPS066,Male,Indian,74,Traditional food,Fresh Juice,Yes
2019/05/07 4:15:35 PM GMT+8,FPS067,Female,Indian,27,Traditional food,Fresh Juice,Yes
2019/05/07 4:16:34 PM GMT+8,FPS068,Male,Indonesia,19,Traditional food,Fresh Juice,Maybe
2019/05/07 4:16:36 PM GMT+8,FPS069,Male,Indonesain,19,Western Food,Carbonated drinks,Yes
2019/05/07 4:17:15 PM GMT+8,FPS070,Female,Indian,80,Traditional food,Fresh Juice,Yes
2019/05/07 4:17:44 PM GMT+8,FPS071,Female,Indian,25,Traditional food,Fresh Juice,No
2019/05/07 4:17:56 PM GMT+8,FPS072,Male,Indian,34,Traditional food,Fresh Juice,Maybe
2019/05/07 4:18:00 PM GMT+8,FPS073,Female,Indonesian,19,Traditional food,Fresh Juice,Yes
2019/05/07 4:18:31 PM GMT+8,FPS074,Female,Indian,80,Traditional food,Fresh Juice,Yes
2019/05/07 4:18:51 PM GMT+8,FPS075,Female,Indian,33,Traditional food,Carbonated drinks,Yes
2019/05/07 4:24:03 PM GMT+8,FPS076,Male,Indian,33,Traditional food,Fresh Juice,Yes
